歌单标题,播放数,链接url
化妆拍照BGM.,8410000,https://music.163.com/playlist?id=2434987000
高 级 感 vlog 纯音乐 BGM,13420000,https://music.163.com/playlist?id=2369772502
谁说翻唱不好听,7530000,https://music.163.com/playlist?id=2433860552
万物皆可Supreme,5060000,https://music.163.com/playlist?id=2520736219
绝版歌曲，劲爆电音，英文纯音，应有尽有！,7370000,https://music.163.com/playlist?id=2525632823
精选 | 网络热歌分享,14170000,https://music.163.com/playlist?id=2602222983
本人写作业学习歌单,5890000,https://music.163.com/playlist?id=2382819181
听说你也在找好听的华语歌,60620000,https://music.163.com/playlist?id=2438292020
「看书学习」在安静的位置看热闹的世界,5650000,https://music.163.com/playlist?id=2426530028
再见大侠：武侠小说泰斗金庸逝世,8960000,https://music.163.com/playlist?id=2492536378
抖音歌曲大全,6940000,https://music.163.com/playlist?id=2428607226
开口即俘获人心，一听就爱上的英文歌 ②,6270000,https://music.163.com/playlist?id=2429537442
2018年度最热新歌TOP100,70200000,https://music.163.com/playlist?id=2578068117
给猪猪甜甜的歌单,7170000,https://music.163.com/playlist?id=2456961456
社会人摇头必备嗨曲（极嗨）,7340000,https://music.163.com/playlist?id=2467197621
"""若是心怀旧梦 就别再无疾而终""",15330000,https://music.163.com/playlist?id=2474537199
那些超带感的英文歌曲~『一秒沦陷』,6060000,https://music.163.com/playlist?id=2390539027
Gifty 很美味 叽叽 二嘉 可乐 西柚 一口甜,7270000,https://music.163.com/playlist?id=2489592180
失恋必听歌单 | 因为你突然听懂了很多歌,41630000,https://music.163.com/playlist?id=2385384236
怀旧 | 闲暇细数90后的回忆杀,13000000,https://music.163.com/playlist?id=2395304063
那些喜欢到循环播放的歌,88220000,https://music.163.com/playlist?id=2466312782
給你全宇宙的愛亘古不變,5410000,https://music.163.com/playlist?id=2445944292
别急，甜甜的恋爱马上就轮到你了,35350000,https://music.163.com/playlist?id=2430524968
欧美·耳朵怀孕 | 盘点那些流行歌手,8540000,https://music.163.com/playlist?id=2430220144
你在抖音上一定听过他们唱歌,5680000,https://music.163.com/playlist?id=2522271121
KTV必点：有没有一首歌，唱着唱着就泪奔,11810000,https://music.163.com/playlist?id=2557918409
初恋糖配料表：你的马尾辫和衬衫味道,7440000,https://music.163.com/playlist?id=2497731034
不曾刻骨铭心，为何念念不忘？,8920000,https://music.163.com/playlist?id=2683848158
华语｜难以被复制，声线极具特色女歌手,7850000,https://music.163.com/playlist?id=2387998356
遥不可及 | 还有多远才能进入你的心,8080000,https://music.163.com/playlist?id=2520454912
华语百首｜好听的才是耳朵最想要的,5790000,https://music.163.com/playlist?id=2459811044
听说 听了这个歌单就会离恋爱更近一点噢！,5030000,https://music.163.com/playlist?id=2679899183
洒脱生活，做酷酷的自己才美丽,5090000,https://music.163.com/playlist?id=2629041485
在你最无助的时候，哪首歌曾治愈了你？,6340000,https://music.163.com/playlist?id=2669381196
隔壁老樊的孤单,16520000,https://music.163.com/playlist?id=2476882724
你还年轻，可以成为想成为的人,6470000,https://music.163.com/playlist?id=2666769294
温柔暴击 | 沉溺于男友音的甜蜜乡,26260000,https://music.163.com/playlist?id=2511560749
会讲故事的男声 歌词唱的太像自己,9420000,https://music.163.com/playlist?id=2546228760
你有没有喜欢很久却错过的人?,8110000,https://music.163.com/playlist?id=2617430576
粤语无前奏 | 开口即深情 入耳便钟意,6570000,https://music.163.com/playlist?id=2512725665
2019年二月最热新歌TOP50,6330000,https://music.163.com/playlist?id=2689760444
愿每个孤独的人 都有属于自己的歌,6270000,https://music.163.com/playlist?id=2564404001
粤语高甜歌：一辈子很短 要爱对的人,5300000,https://music.163.com/playlist?id=2690737342
试 着 安 静 地 听 完 一 整 首 歌,6710000,https://music.163.com/playlist?id=2634350920
希望你的可爱，可以治愈一切烦恼,5130000,https://music.163.com/playlist?id=2523761864
早 / 睡 / 早 / 起 ：愿你生活温暖且美好,6180000,https://music.163.com/playlist?id=2585806368
